x,y,z,s
-1.587226,-5.000000,-2.483898,6
-2.325531,-5.000000,-1.569567,6
-1.145885,-5.000000,-1.617647,6
-0.533594,-5.000000,-2.505379,6
-1.587226,-5.000000,-2.483898,6
-1.145885,-5.000000,-1.617647,6
-2.463015,-2.538776,-5.000000,6
-1.552488,-2.507478,-5.000000,6
-2.290938,-1.585466,-5.000000,6
-2.020007,-3.335323,-5.000000,6
-2.529487,-4.157979,-5.000000,6
-1.504443,-4.173769,-5.000000,6
0.000414,-0.006838,-5.000000,6
-0.515674,-0.856184,-5.000000,6
0.518348,-0.855782,-5.000000,6
5.000000,-0.879291,1.686967,6
5.000000,-0.497660,2.496024,6
5.000000,0.011768,1.680218,6
-2.510405,-5.000000,0.530612,6
-1.636508,-5.000000,0.078913,6
-2.498518,-5.000000,-0.484720,6
5.000000,-0.001547,-3.347829,6
5.000000,-1.019562,-3.338698,6
5.000000,-0.533594,-2.505379,6
2.061458,-5.000000,-3.295376,6
2.515369,-5.000000,-2.495883,6
3.228824,-5.000000,-3.116051,6
-5.000000,-4.111674,-3.649275,6
-5.000000,-3.359639,-4.210015,6
-5.000000,-3.115797,-3.229348,6
-4.168902,-3.400752,-5.000000,6
-3.612666,-4.148219,-5.000000,6
-3.149809,-3.193562,-5.000000,6
-5.000000,-1.609564,-0.995448,6
-5.000000,-1.800681,-0.029880,6
-5.000000,-2.523995,-0.511485,6
-5.000000,-3.318792,1.017369,6
-5.000000,-3.346489,-0.000328,6
-5.000000,-2.493838,0.490597,6
-3.347167,-5.000000,0.002575,6
-2.498518,-5.000000,-0.484720,6
-3.328230,-5.000000,-1.008896,6
-4.175186,-5.000000,-0.500281,6
-4.173977,-5.000000,-1.500163,6
-5.000000,-5.000000,-1.000000,6
-5.000000,-3.294867,-2.062297,6
-5.000000,-3.115797,-3.229348,6
-5.000000,-2.494144,-2.518315,6
-5.000000,-1.572334,-2.311583,6
-5.000000,-0.838978,-1.671209,6
-5.000000,-1.609564,-0.995448,6
-5.000000,-0.425959,-0.820748,6
-5.000000,-0.945498,-0.019586,6
-5.000000,-1.609564,-0.995448,6
-2.498518,-5.000000,-0.484720,6
-2.325531,-5.000000,-1.569567,6
-3.328230,-5.000000,-1.008896,6
-4.174833,-0.500228,5.000000,6
